

                       DRAW OF Rs.100/- 
                 STUDENT WELFARE PRIZE BOND						
			HELD AT KARACHI					
Draw No. 1st									
Series:	Common Draw					Date: 15/02/13				
--------------------------------------------------------------------------										
First Prize of Rs. 700,000/-										
										
316342 		
--------------------------------------------------------------------------										
Second Prize of Rs.200,000/- Each.										
										
523676	841768	995837						
--------------------------------------------------------------------------										
										
Third Prize										
										
1,199 PRIZES OF Rs.1,000/- EACH										
--------------------------------------------------------------------------

000202	036798	084694	144081	196871	241012	283475	326083	374814	420353	469050
001661	037548	087210	145792	197437	241681	283741	327190	378799	421057	472241
001860	037658	088248	146401	198475	242446	284376	329927	379725	424321	473106
003555	037778	090731	146816	199098	242719	288210	330322	380468	424705	473448
004251	038579	090856	151501	200730	244753	290043	331577	380813	425350	473807
004386	038928	092351	151657	200919	245797	290747	332119	381370	425591	473848
004453	041549	092551	151917	201408	248044	291112	332289	382023	426209	475209
005657	043528	092776	152114	201491	248883	292056	332360	383389	426621	476043
006004	043838	093597	152528	201506	250032	292077	333117	384139	426908	476484
006031	049691	094012	154648	201518	250186	292566	333808	384964	426913	476701
006387	049903	098474	155867	201708	250353	293470	333974	384979	427065	478101
006436	050439	098993	156408	202626	250458	294232	334611	384994	427455	478610
006980	050530	100403	156700	203779	250579	294601	335803	385106	427520	478796
007311	052013	101782	157213	203848	251414	295535	337193	385110	428409	479685
007714	052617	101881	159572	204781	251599	297258	337995	388046	429678	480428
008511	058264	104025	161924	205519	251813	297759	339131	388091	430478	481916
008874	059085	104535	163777	206412	251852	298325	340739	388960	430721	482302
008886	059179	105518	163820	207232	252138	298704	341963	389170	430990	483013
009328	059533	107051	164309	207635	252595	298750	343279	389833	433074	483744
009344	060207	109444	165117	208363	255029	298982	345213	391221	433605	484024
009345	060860	109868	166358	210800	255092	299154	346106	392003	434048	485265
009441	060984	110345	166583	211379	255618	299725	346612	394063	434601	485397
010344	061709	114280	166782	211604	255776	299897	347911	395199	434936	485495
010400	061843	116405	167261	212050	258548	301293	348331	395389	435023	486316
010604	064000	116537	169605	212118	258747	303179	349076	395731	437398	486519
010998	065105	116927	170485	213895	259403	303548	349717	398350	438385	486530
011547	065190	119034	170603	214562	259593	303994	352136	398502	443009	487306
012863	067506	119645	170900	215531	259658	304562	353738	398853	443377	488137
014522	067710	119976	171808	216401	259790	306731	353907	398906	444101	488989
016587	067872	122512	175032	219786	261014	307810	354989	398996	444107	489009
018854	068904	123751	175360	219913	261121	308132	355784	399285	444611	490533
018883	069508	124471	176020	220011	261944	310767	356106	399974	444899	491944
019104	070478	125726	177018	221220	263603	311068	356729	400320	445148	492056
020207	070968	129951	177763	222349	263781	311201	357716	401351	445722	492298
020685	072563	129988	178075	224023	264526	311343	358531	401666	447532	493380
022857	072814	130825	179047	224050	265323	311577	358667	402107	448071	493619
023938	072868	131949	180507	225628	265745	312963	359510	402343	449249	494446
025331	072879	132142	183235	226179	266054	313257	359543	404106	449518	495187
025663	073300	133328	183586	226871	267059	313300	360304	406321	450208	495604
026968	073959	133382	184307	226945	267093	313859	360584	408274	452814	495969
030152	074039	135095	185203	227850	270746	315679	363146	408844	453627	496533
031049	075607	135678	187426	227985	272673	316596	363720	411255	454843	496817
031186	076370	135709	187768	229281	272993	316711	365470	412104	455386	496963
031284	076388	137387	188396	229300	274319	317545	365485	412907	455393	497930
031307	077997	137857	188699	229325	274802	317831	366293	414207	456701	498950
031700	078331	137891	188705	231531	275552	319378	368721	414468	457225	499202
032152	078606	138385	189731	232365	276960	321260	369546	415382	458380	499656
032395	078647	140242	191856	232745	277463	321358	370543	416168	463570	500389
032857	078733	140394	192184	234090	277571	321488	371623	417546	464883	502592
033128	079426	141571	193139	234126	278220	321833	372333	418235	465908	504131
033898	079436	142164	194454	236394	278648	322751	372937	418241	466803	505260
034465	079924	142559	194936	237403	279387	325099	373547	418508	467281	505505
035796	080014	142745	195489	237463	281877	325183	373617	418902	467673	506095
036561	080118	143065	195817	237475	282318	325385	373897	418968	467895	507730
036760	083618	143673	196619	238474	283118	325944	374338	420245	468726	508102



508825	549895	600367	636331	675749	723049	769521	808553	862776	908318	961798
509248	550986	601326	637779	677042	723274	769630	808595	862957	909822	962532
509804	551256	602233	638861	679545	723922	769791	808912	863102	912397	962753
509824	551526	602701	640193	680333	724360	770378	809512	864267	912432	963934
510475	554174	603208	641472	680918	727040	771413	811491	864417	913430	964882
512615	554866	603887	641979	682730	728059	773258	812742	864929	916773	964975
514955	556099	604764	642224	683603	728320	774814	814110	864959	919786	965397
515743	557349	607259	642332	684420	728748	774826	815398	866936	921076	965450
516339	558078	607412	643851	684617	729709	775013	816435	868514	921578	966428
516913	559498	607871	644618	685548	730598	775496	817541	870047	921762	967666
517757	560255	608131	644795	686958	731060	775857	817616	873271	921963	968345
518062	560448	608593	645343	687161	731479	776004	818847	877112	922277	969581
518574	560731	608710	645992	687886	731518	776264	819802	877460	922686	969807
